"","seq_name","length","topology","coordinates","n_genes","genetic_code","virus_score","fdr","n_hallmarks","marker_enrichment","taxonomy","Genome"
"1864","NZ_JBBCRF010000007.1|provirus_136666_168788",32123,"Provirus","136666-168788","39",11,0.9997,NA,14,49.5192,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149555.1_ASM3714955v1_genomic_summary/GCF_037149555.1_ASM3714955v1_genomic_virus_summary.tsv"
"1865","NZ_JBBCRF010000009.1|provirus_193296_225574",32279,"Provirus","193296-225574","40",11,0.9997,NA,15,44.2868,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149555.1_ASM3714955v1_genomic_summary/GCF_037149555.1_ASM3714955v1_genomic_virus_summary.tsv"
"1866","NZ_JBBCRF010000002.1|provirus_291447_304480",13034,"Provirus","291447-304480","20",11,0.9992,NA,15,25.845,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149555.1_ASM3714955v1_genomic_summary/GCF_037149555.1_ASM3714955v1_genomic_virus_summary.tsv"
"1867","NZ_JBBCRF010000004.1|provirus_472405_486101",13697,"Provirus","472405-486101","24",11,0.9992,NA,1,20.8814,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149555.1_ASM3714955v1_genomic_summary/GCF_037149555.1_ASM3714955v1_genomic_virus_summary.tsv"
"1868","NZ_JBBCQQ010000007.1|provirus_109981_144782",34802,"Provirus","109981-144782","45",11,0.9995,NA,23,46.1966,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149855.1_ASM3714985v1_genomic_summary/GCF_037149855.1_ASM3714985v1_genomic_virus_summary.tsv"
"1869","NZ_JBBCQQ010000006.1|provirus_58832_94329",35498,"Provirus","58832-94329","45",11,0.9995,NA,15,51.8385,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149855.1_ASM3714985v1_genomic_summary/GCF_037149855.1_ASM3714985v1_genomic_virus_summary.tsv"
"1870","NZ_JBBCQQ010000006.1|provirus_101389_114614",13226,"Provirus","101389-114614","20",11,0.9993,NA,15,26.7048,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037149855.1_ASM3714985v1_genomic_summary/GCF_037149855.1_ASM3714985v1_genomic_virus_summary.tsv"
"1871","NZ_CP147660.1|provirus_3475301_3491111",15811,"Provirus","3475301-3491111","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037212895.1_Erwinia_amylovora_YKB14808_genomic_summary/GCF_037212895.1_Erwinia_amylovora_YKB14808_genomic_virus_summary.tsv"
"1872","NZ_JAQISN010000001.1|provirus_2013892_2062499",48608,"Provirus","2013892-2062499","61",11,0.9997,NA,13,54.6462,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037450285.1_ASM3745028v1_genomic_summary/GCF_037450285.1_ASM3745028v1_genomic_virus_summary.tsv"
"1873","NZ_JAQISN010000001.1|provirus_782680_823048",40369,"Provirus","782680-823048","52",11,0.9995,NA,16,61.8681,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037450285.1_ASM3745028v1_genomic_summary/GCF_037450285.1_ASM3745028v1_genomic_virus_summary.tsv"
"1874","NZ_JAQISN010000001.1|provirus_1310667_1346698",36032,"Provirus","1310667-1346698","44",11,0.9993,NA,17,37.2681,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037450285.1_ASM3745028v1_genomic_summary/GCF_037450285.1_ASM3745028v1_genomic_virus_summary.tsv"
"1875","NZ_JAQISN010000003.1|provirus_244491_266691",22201,"Provirus","244491-266691","26",11,0.999,NA,16,29.8349,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037450285.1_ASM3745028v1_genomic_summary/GCF_037450285.1_ASM3745028v1_genomic_virus_summary.tsv"
"1876","NZ_JBBGZV010000025.1|provirus_328151_342505",14355,"Provirus","328151-342505","20",11,0.999,NA,15,25.88,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037479155.1_ASM3747915v1_genomic_summary/GCF_037479155.1_ASM3747915v1_genomic_virus_summary.tsv"
"1877","NZ_JBBGZS010000022.1|provirus_50410_64764",14355,"Provirus","50410-64764","20",11,0.999,NA,15,25.88,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037479175.1_ASM3747917v1_genomic_summary/GCF_037479175.1_ASM3747917v1_genomic_virus_summary.tsv"
"1878","NZ_JBBGYT010000439.1|provirus_3_9396",9394,"Provirus","3-9396","11",11,0.9995,NA,7,11.51,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037479575.1_ASM3747957v1_genomic_summary/GCF_037479575.1_ASM3747957v1_genomic_virus_summary.tsv"
"1879","NZ_JBBGYT010000442.1|provirus_213667_238512",24846,"Provirus","213667-238512","39",11,0.9993,NA,18,38.105,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037479575.1_ASM3747957v1_genomic_summary/GCF_037479575.1_ASM3747957v1_genomic_virus_summary.tsv"
"1880","NZ_JBBGYT010000438.1|provirus_1614537_1662824",48288,"Provirus","1614537-1662824","74",11,0.9992,NA,18,69.0066,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037479575.1_ASM3747957v1_genomic_summary/GCF_037479575.1_ASM3747957v1_genomic_virus_summary.tsv"
"1881","NZ_JBBGYT010000441.1|provirus_238281_255070",16790,"Provirus","238281-255070","23",11,0.9991,NA,18,30.3395,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_037479575.1_ASM3747957v1_genomic_summary/GCF_037479575.1_ASM3747957v1_genomic_virus_summary.tsv"
"1882","NZ_JBBGYT010000373.1",672,"No","terminal","repeats",NA,2,11,0.9801,NA,"1","GCF_037479575.1_ASM3747957v1_genomic_summary/GCF_037479575.1_ASM3747957v1_genomic_virus_summary.tsv"
"1883","NZ_JBCHVB010000007.1|provirus_60101_98095",37995,"Provirus","60101-98095","61",11,0.9997,NA,10,63.7746,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039023475.1_ASM3902347v1_genomic_summary/GCF_039023475.1_ASM3902347v1_genomic_virus_summary.tsv"
"1884","NZ_JBCHVC010000002.1|provirus_161216_203858",42643,"Provirus","161216-203858","73",11,0.9996,NA,22,68.3321,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039023495.1_ASM3902349v1_genomic_summary/GCF_039023495.1_ASM3902349v1_genomic_virus_summary.tsv"
"1885","NZ_CP152417.1|provirus_2768200_2821999",53800,"Provirus","2768200-2821999","79",11,0.9994,NA,11,70.2067,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039134845.1_ASM3913484v1_genomic_summary/GCF_039134845.1_ASM3913484v1_genomic_virus_summary.tsv"
"1886","NZ_CP152417.1|provirus_3500355_3515077",14723,"Provirus","3500355-3515077","19",11,0.9994,NA,6,25.5374,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039134845.1_ASM3913484v1_genomic_summary/GCF_039134845.1_ASM3913484v1_genomic_virus_summary.tsv"
"1887","NZ_CP152417.1|provirus_606054_650861",44808,"Provirus","606054-650861","61",11,0.9992,NA,29,60.5001,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039134845.1_ASM3913484v1_genomic_summary/GCF_039134845.1_ASM3913484v1_genomic_virus_summary.tsv"
"1888","NZ_CP155071.1|provirus_3760345_3788007",27663,"Provirus","3760345-3788007","37",11,0.9994,NA,18,34.6332,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039621855.1_ASM3962185v1_genomic_summary/GCF_039621855.1_ASM3962185v1_genomic_virus_summary.tsv"
"1889","NZ_CP155071.1|provirus_2703420_2727388",23969,"Provirus","2703420-2727388","29",11,0.9994,NA,11,30.5477,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039621855.1_ASM3962185v1_genomic_summary/GCF_039621855.1_ASM3962185v1_genomic_virus_summary.tsv"
"1890","NZ_CP155071.1|provirus_3657704_3672256",14553,"Provirus","3657704-3672256","20",11,0.9992,NA,10,28.4561,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039621855.1_ASM3962185v1_genomic_summary/GCF_039621855.1_ASM3962185v1_genomic_virus_summary.tsv"
"1891","NZ_CP155071.1|provirus_1447279_1468643",21365,"Provirus","1447279-1468643","36",11,0.9968,NA,0,11.2548,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039621855.1_ASM3962185v1_genomic_summary/GCF_039621855.1_ASM3962185v1_genomic_virus_summary.tsv"
"1892","NZ_CP155071.1|provirus_2047861_2059353",11493,"Provirus","2047861-2059353","13",11,0.9934,NA,3,10.2437,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039621855.1_ASM3962185v1_genomic_summary/GCF_039621855.1_ASM3962185v1_genomic_virus_summary.tsv"
"1893","NZ_JBDFPM010000009.1|provirus_111971_127817",15847,"Provirus","111971-127817","20",11,0.9919,NA,4,10.6764,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039672585.1_ASM3967258v1_genomic_summary/GCF_039672585.1_ASM3967258v1_genomic_virus_summary.tsv"
"1894","NZ_JBDFPM010000021.1",4084,"No","terminal","repeats",NA,5,11,0.8278,NA,"0","GCF_039672585.1_ASM3967258v1_genomic_summary/GCF_039672585.1_ASM3967258v1_genomic_virus_summary.tsv"
"1895","NZ_JBDFQH010000001.1|provirus_250170_282822",32653,"Provirus","250170-282822","40",11,0.9996,NA,22,50.415,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675445.1_ASM3967544v1_genomic_summary/GCF_039675445.1_ASM3967544v1_genomic_virus_summary.tsv"
"1896","NZ_JBDFQH010000002.1|provirus_255870_307848",51979,"Provirus","255870-307848","77",11,0.9996,NA,18,71.1795,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675445.1_ASM3967544v1_genomic_summary/GCF_039675445.1_ASM3967544v1_genomic_virus_summary.tsv"
"1897","NZ_JBDFQO010000001.1|provirus_774595_805150",30556,"Provirus","774595-805150","43",11,0.9996,NA,18,45.4926,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675645.1_ASM3967564v1_genomic_summary/GCF_039675645.1_ASM3967564v1_genomic_virus_summary.tsv"
"1898","NZ_JBDFQO010000002.1|provirus_677417_694606",17190,"Provirus","677417-694606","25",11,0.9987,NA,1,24.7186,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675645.1_ASM3967564v1_genomic_summary/GCF_039675645.1_ASM3967564v1_genomic_virus_summary.tsv"
"1899","NZ_JBDFQO010000014.1|provirus_23734_38834",15101,"Provirus","23734-38834","18",11,0.9938,NA,4,10.6532,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675645.1_ASM3967564v1_genomic_summary/GCF_039675645.1_ASM3967564v1_genomic_virus_summary.tsv"
"1900","NZ_JBDFQO010000025.1",4501,"No","terminal","repeats",NA,5,11,0.8661,NA,"0","GCF_039675645.1_ASM3967564v1_genomic_summary/GCF_039675645.1_ASM3967564v1_genomic_virus_summary.tsv"
"1901","NZ_JBDFQQ010000003.1|provirus_482021_510872",28852,"Provirus","482021-510872","39",11,0.9997,NA,23,49.6784,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675685.1_ASM3967568v1_genomic_summary/GCF_039675685.1_ASM3967568v1_genomic_virus_summary.tsv"
"1902","NZ_JBDFQQ010000001.1|provirus_1159014_1210117",51104,"Provirus","1159014-1210117","78",11,0.9993,NA,14,70.815,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675685.1_ASM3967568v1_genomic_summary/GCF_039675685.1_ASM3967568v1_genomic_virus_summary.tsv"
"1903","NZ_JBDFQS010000001.1|provirus_958650_997042",38393,"Provirus","958650-997042","51",11,0.9996,NA,23,48.3092,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675705.1_ASM3967570v1_genomic_summary/GCF_039675705.1_ASM3967570v1_genomic_virus_summary.tsv"
"1904","NZ_JBDFQS010000002.1|provirus_338321_348324",10004,"Provirus","338321-348324","14",11,0.9891,NA,4,6.8046,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675705.1_ASM3967570v1_genomic_summary/GCF_039675705.1_ASM3967570v1_genomic_virus_summary.tsv"
"1905","NZ_JBDFQT010000003.1|provirus_293749_326547",32799,"Provirus","293749-326547","42",11,0.9996,NA,23,52.3593,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675725.1_ASM3967572v1_genomic_summary/GCF_039675725.1_ASM3967572v1_genomic_virus_summary.tsv"
"1906","NZ_JBDFQT010000003.1|provirus_343445_360164",16720,"Provirus","343445-360164","24",11,0.9985,NA,17,28.0774,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_039675725.1_ASM3967572v1_genomic_summary/GCF_039675725.1_ASM3967572v1_genomic_virus_summary.tsv"
"1907","NZ_CP157669.1|provirus_3413294_3429104",15811,"Provirus","3413294-3429104","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_040105085.1_ASM4010508v1_genomic_summary/GCF_040105085.1_ASM4010508v1_genomic_virus_summary.tsv"
"1908","NZ_CP157840.1|provirus_3419439_3435249",15811,"Provirus","3419439-3435249","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_040125995.1_ASM4012599v1_genomic_summary/GCF_040125995.1_ASM4012599v1_genomic_virus_summary.tsv"
"1909","NZ_CP158121.1|provirus_3411919_3427729",15811,"Provirus","3411919-3427729","19",11,0.9913,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_040234495.1_E.a._E22_genomic_summary/GCF_040234495.1_E.a._E22_genomic_virus_summary.tsv"
"1910","NZ_JBFKZN010000006.1|provirus_464648_508970",44323,"Provirus","464648-508970","64",11,0.9994,NA,16,59.4044,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_040741485.1_ASM4074148v1_genomic_summary/GCF_040741485.1_ASM4074148v1_genomic_virus_summary.tsv"
"1911","NZ_JBFKZN010000027.1",6490,"No","terminal","repeats",NA,10,11,0.9785,NA,"2","GCF_040741485.1_ASM4074148v1_genomic_summary/GCF_040741485.1_ASM4074148v1_genomic_virus_summary.tsv"
"1912","NZ_CP139347.1|provirus_1599125_1626744",27620,"Provirus","1599125-1626744","41",11,0.9995,NA,6,49.74,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041015235.1_Erwinia_pyrifoliae_YKB12327_genomic_summary/GCF_041015235.1_Erwinia_pyrifoliae_YKB12327_genomic_virus_summary.tsv"
"1913","NZ_CP139347.1|provirus_1273735_1322788",49054,"Provirus","1273735-1322788","66",11,0.9995,NA,23,68.3373,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041015235.1_Erwinia_pyrifoliae_YKB12327_genomic_summary/GCF_041015235.1_Erwinia_pyrifoliae_YKB12327_genomic_virus_summary.tsv"
"1914","NZ_CP139347.1|provirus_3520219_3533992",13774,"Provirus","3520219-3533992","19",11,0.9993,NA,0,14.2488,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041015235.1_Erwinia_pyrifoliae_YKB12327_genomic_summary/GCF_041015235.1_Erwinia_pyrifoliae_YKB12327_genomic_virus_summary.tsv"
"1915","NZ_JBGFFX010000001.1|provirus_164636_213059",48424,"Provirus","164636-213059","70",11,0.9997,NA,19,73.0856,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041224955.1_ASM4122495v1_genomic_summary/GCF_041224955.1_ASM4122495v1_genomic_virus_summary.tsv"
"1916","NZ_JBGFFX010000012.1|provirus_168_11689",11522,"Provirus","168-11689","16",11,0.9993,NA,0,9.9847,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041224955.1_ASM4122495v1_genomic_summary/GCF_041224955.1_ASM4122495v1_genomic_virus_summary.tsv"
"1917","NZ_JBGFFX010000007.1|provirus_206451_223691",17241,"Provirus","206451-223691","22",11,0.9989,NA,8,29.784,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041224955.1_ASM4122495v1_genomic_summary/GCF_041224955.1_ASM4122495v1_genomic_virus_summary.tsv"
"1918","NZ_JBGFFX010000003.1|provirus_291716_352861",61146,"Provirus","291716-352861","70",11,0.9983,NA,22,45.2502,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041224955.1_ASM4122495v1_genomic_summary/GCF_041224955.1_ASM4122495v1_genomic_virus_summary.tsv"
"1919","NZ_JBGFFX010000024.1",10477,"No","terminal","repeats",NA,14,11,0.9981,NA,"1","GCF_041224955.1_ASM4122495v1_genomic_summary/GCF_041224955.1_ASM4122495v1_genomic_virus_summary.tsv"
"1920","NZ_JBGGPM010000001.1|provirus_1154551_1202055",47505,"Provirus","1154551-1202055","66",11,0.9997,NA,14,66.1332,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041320675.1_ASM4132067v1_genomic_summary/GCF_041320675.1_ASM4132067v1_genomic_virus_summary.tsv"
"1921","NZ_JBGGPM010000001.1|provirus_2048203_2079782",31580,"Provirus","2048203-2079782","40",11,0.9994,NA,15,42.155,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041320675.1_ASM4132067v1_genomic_summary/GCF_041320675.1_ASM4132067v1_genomic_virus_summary.tsv"
"1922","NZ_JBGGPM010000001.1|provirus_1226133_1266906",40774,"Provirus","1226133-1266906","54",11,0.9993,NA,24,50.3266,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041320675.1_ASM4132067v1_genomic_summary/GCF_041320675.1_ASM4132067v1_genomic_virus_summary.tsv"
"1923","NZ_JBGGPM010000001.1|provirus_2016341_2033416",17076,"Provirus","2016341-2033416","22",11,0.9986,NA,8,29.6596,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041320675.1_ASM4132067v1_genomic_summary/GCF_041320675.1_ASM4132067v1_genomic_virus_summary.tsv"
"1924","NZ_JBGGPM010000001.1|provirus_219_41228",41010,"Provirus","219-41228","46",11,0.9954,NA,9,24.7912,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_041320675.1_ASM4132067v1_genomic_summary/GCF_041320675.1_ASM4132067v1_genomic_virus_summary.tsv"
"1925","NZ_CDPK01000016.1|provirus_1_13396",13396,"Provirus","1-13396","20",11,0.9996,NA,10,28.8455,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_900068895.1_Ervv1.fasta_genomic_summary/GCF_900068895.1_Ervv1.fasta_genomic_virus_summary.tsv"
"1926","NZ_CDPK01000027.1",2303,"No","terminal","repeats",NA,4,11,0.9982,NA,"2","GCF_900068895.1_Ervv1.fasta_genomic_summary/GCF_900068895.1_Ervv1.fasta_genomic_virus_summary.tsv"
"1927","NZ_CDPK01000003.1|provirus_448348_457651",9304,"Provirus","448348-457651","12",11,0.9949,NA,3,10.2437,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_900068895.1_Ervv1.fasta_genomic_summary/GCF_900068895.1_Ervv1.fasta_genomic_virus_summary.tsv"
"1928","NZ_LR026978.1|provirus_2590529_2635552",45024,"Provirus","2590529-2635552","73",11,0.9996,NA,18,73.437,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_900604315.1_PRJEB25870_genomic_summary/GCF_900604315.1_PRJEB25870_genomic_virus_summary.tsv"
"1929","NZ_LR026978.1|provirus_473107_508574",35468,"Provirus","473107-508574","46",11,0.9993,NA,24,50.467,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_900604315.1_PRJEB25870_genomic_summary/GCF_900604315.1_PRJEB25870_genomic_virus_summary.tsv"
"1930","NZ_CAJYHK010000001.1|provirus_220437_237387",16951,"Provirus","220437-237387","19",11,0.9996,NA,6,19.1088,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_913774645.1_S1C8761_SP8_genomic_summary/GCF_913774645.1_S1C8761_SP8_genomic_virus_summary.tsv"
"1931","NZ_CAJYHK010000024.1|provirus_68_29650",29583,"Provirus","68-29650","51",11,0.9995,NA,9,50.4054,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_913774645.1_S1C8761_SP8_genomic_summary/GCF_913774645.1_S1C8761_SP8_genomic_virus_summary.tsv"
"1932","NZ_CAKKMT010000004.1|provirus_63433_111401",47969,"Provirus","63433-111401","67",11,0.9996,NA,18,65.7036,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_918698235.1_SRABI13_genomic_summary/GCF_918698235.1_SRABI13_genomic_virus_summary.tsv"
"1933","NZ_CAKKMT010000002.1|provirus_285932_299456",13525,"Provirus","285932-299456","21",11,0.9993,NA,16,28.4484,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_918698235.1_SRABI13_genomic_summary/GCF_918698235.1_SRABI13_genomic_virus_summary.tsv"
"1934","CAPD01000013.1|provirus_634713_652745",18033,"Provirus","634713-652745","28",11,0.999,NA,8,27.892,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_virus_summary.tsv"
"1935","CAPD01000014.1|provirus_1_8008",8008,"Provirus","1-8008","11",11,0.9956,NA,4,9.3544,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_virus_summary.tsv"
"1936","CAPD01000037.1",2519,"No","terminal","repeats",NA,2,11,0.9917,NA,"0","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_virus_summary.tsv"
"1937","CBVU010000007.1|provirus_597510_613320",15811,"Provirus","597510-613320","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_000513355.1_EA_LA637_genomic_summary/GCA_000513355.1_EA_LA637_genomic_virus_summary.tsv"
"1938","CBVT010000007.1|provirus_597528_613338",15811,"Provirus","597528-613338","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_000513395.1_EA_LA636_genomic_summary/GCA_000513395.1_EA_LA636_genomic_virus_summary.tsv"
"1939","CBVS010000007.1|provirus_597528_613338",15811,"Provirus","597528-613338","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_000513415.1_EA_LA635_genomic_summary/GCA_000513415.1_EA_LA635_genomic_virus_summary.tsv"
"1940","JMSO01000259.1",40184,"No","terminal","repeats",NA,58,11,0.9998,NA,"16","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"1941","JMSO01000122.1|provirus_71_4568",4498,"Provirus","71-4568","10",11,0.9998,NA,0,5.5377,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"1942","JMSO01000051.1|provirus_32_40070",40039,"Provirus","32-40070","51",11,0.9998,NA,15,56.7363,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"1943","JMSO01000297.1",7686,"No","terminal","repeats",NA,14,11,0.9998,NA,"2","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"1944","JMSO01000250.1",38886,"No","terminal","repeats",NA,66,11,0.9997,NA,"14","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"1945","JMSO01000050.1|provirus_13708_25148",11441,"Provirus","13708-25148","21",11,0.9997,NA,1,18.1616,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"1946","JMSO01000191.1|provirus_12515_18131",5617,"Provirus","12515-18131","7",11,0.9995,NA,5,8.759,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_963520805.1_ERR9968784_bin.9_MetaWRAP_v1.3_MAG_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
